date,description,amount
2026-01-10,DUNKIN DONUTS #272,-6.07
2026-01-10,TRADER JOES,-51.48
2026-01-10,CHEVRON FUEL,-55.32
2026-01-10,CVS PHARMACY,-37.29
2026-01-11,DUNKIN DONUTS #760,-8.25
2026-01-11,CHIPOTLE MEXICAN #572,-10.16
2026-01-11,PANERA BREAD #616,-12.32
2026-01-12,AMAZON PRIME MEMBERSHIP,-14.99
2026-01-12,UNKNOWN APP PURCHASE,-2.99
2026-01-12,WHOLE FOODS MARKET,-66.22
2026-01-12,SHELL GAS STATION,-46.9
2026-01-12,SHELL GAS STATION,-50.83
2026-01-13,STARBUCKS #794,-3.74
2026-01-13,STARBUCKS #645,-3.42
2026-01-13,WHOLE FOODS MARKET,-70.38
2026-01-14,STARBUCKS #420,-3.31
2026-01-14,CHIPOTLE MEXICAN #693,-8.97
2026-01-14,CHIPOTLE MEXICAN #678,-10.23
2026-01-14,CHIPOTLE MEXICAN #746,-8.64
2026-01-14,PANERA BREAD #910,-8.24
2026-01-14,PANERA BREAD #957,-9.13
2026-01-14,WHOLE FOODS MARKET,-77.96
2026-01-15,ELECTRIC COMPANY - MONTHLY,-128.67
2026-01-15,GAS UTILITY BILL,-66.85
2026-01-15,PAYCHECK - DIRECT DEPOSIT,1200.0
2026-01-15,STARBUCKS #379,-4.08
2026-01-15,DUNKIN DONUTS #457,-5.76
2026-01-15,PANERA BREAD #163,-6.82
2026-01-15,CHEVRON FUEL,-40.36
2026-01-15,WENDYS,-24.16
2026-01-16,WHOLE FOODS MARKET,-56.91
2026-01-16,TRADER JOES,-54.33
2026-01-16,MINI GOLF,-65.21
2026-01-17,STARBUCKS #259,-7.01
2026-01-17,STARBUCKS #415,-5.96
2026-01-17,STARBUCKS #826,-6.1
2026-01-17,PANERA BREAD #719,-9.74
2026-01-17,WHOLE FOODS MARKET,-104.19
2026-01-18,INTERNET SERVICE PROVIDER,-79.99
2026-01-18,UBER EATS,-54.94
2026-01-18,WINE AND SPIRITS SHOP,-165.0
2026-01-19,STARBUCKS #514,-3.76
2026-01-19,CHIPOTLE MEXICAN #430,-10.45
2026-01-20,WATER & SEWER UTILITY,-51.85
2026-01-20,APP STORE CHARGE,-4.99
2026-01-20,STARBUCKS #506,-3.89
2026-01-21,STARBUCKS #681,-4.78
2026-01-21,STARBUCKS #953,-4.2
2026-01-22,PANERA BREAD #929,-6.45
2026-01-22,PREMIUM GAS STATION,-95.0
2026-01-23,STARBUCKS #396,-4.75
2026-01-23,PARKING GARAGE,-28.77
2026-01-24,DUNKIN DONUTS #249,-5.73
2026-01-24,SHELL GAS STATION,-48.4
2026-01-25,MYSTERY SUBSCRIPTION,-1.99
2026-01-26,STARBUCKS #119,-3.24
2026-01-26,CHIPOTLE MEXICAN #254,-9.2
2026-01-27,CVS PHARMACY,-13.25
2026-01-28,DIGITAL SERVICE FEE,-3.49
2026-01-28,STARBUCKS #964,-3.33
2026-01-28,SHELL GAS STATION,-41.19
2026-01-29,STARBUCKS #806,-4.12
2026-01-29,TRADER JOES,-65.14
2026-01-29,SHELL GAS STATION,-48.97
2026-01-29,LYFT RIDE,-17.93
2026-01-30,CHEVRON FUEL,-58.25
